2022-02-08 | 33
2022-02-11 | 8
2022-02-14 | 1
2022-02-17 | 0.9
2022-02-20 | 33346366362
2022-02-23 | 66
2022-02-26 | 777
2022-03-01 | 222
2022-03-04 | -45454545
2022-03-07 | 11
2022-03-10 | 89
2022-03-13 | 111
2022-03-16 | 56
2022-03-19 | 22
2022-03-22 | 99
2022-03-25 | 54
2022-03-29 | 44
2021-08-04 | 38138
2021-08-07 | 42825.95
2021-08-10 | 46333.46
2021-08-13 | 44417.78
2021-08-16 | 47056.41
2021-08-19 | 44777.86
2021-08-22 | 48932.02
2021-08-25 | 47744.58
2021-08-28 | 49056.86
2021-08-31 | 47074.77
2021-09-03 | 49329.01
2021-09-06 | 51769.06
2021-09-09 | 46078.38
2021-09-12 | 45144.79
2021-09-15 | 47072.12
2021-09-18 | 47263.6
2021-09-21 | 42901.56
2021-09-24 | 44888.96
2021-09-27 | 43182.63
2021-09-30 | 41522.38
2021-10-03 | 47727.1
